NhietdoN_SONG,pH_N_SONG,Duc_N_SONG,Mau_N_SONG,SS_SONG,EC_N_SONG,Jartest_N_SONG_KN
29.1,7.0,63.0,552.0,50.0,49.6,20.0
30.7,6.7,19.0,,,91.5,19.2
,6.9,28.0,,,334.0,26.0
29.8,6.9,52.0,,,72.0,22.4
28.8,7.0,15.0,96.0,26.0,60.0,14.0
29.8,6.7,64.0,550.0,,77.0,28.0
30.2,7.0,37.0,301.0,,150.0,22.0
29.8,6.8,46.0,,,52.5,18.0
29.0,7.2,14.0,118.0,14.0,64.0,8.0
28.7,6.7,13.0,126.0,13.0,63.4,16.0
31.7,7.0,12.0,,,70.8,14.0
30.4,6.9,57.0,,,64.4,20.0
28.7,7.0,16.0,124.0,10.0,76.5,16.0
29.2,6.8,16.0,,,59.5,16.0
32.0,6.8,17.0,,,98.9,26.0
28.8,6.7,55.0,480.0,39.0,58.6,25.6
29.4,6.8,18.0,,,63.1,14.0
29.8,6.8,62.0,,,79.0,28.0
28.5,6.8,28.0,,,61.6,18.0
28.6,6.9,27.0,243.0,27.0,80.1,19.2
31.5,7.1,8.0,,,60.5,18.0
29.8,6.7,82.0,,,64.1,28.0
30.6,6.7,77.0,642.0,56.0,61.7,24.0
30.7,6.7,30.0,,,62.3,18.0
31.0,6.8,34.0,,,69.4,22.0
,7.0,45.0,,,52.3,16.0
,6.8,76.0,648.0,60.0,55.6,18.0
30.4,6.9,34.0,330.0,28.0,71.0,28.0
30.2,6.9,51.0,,,60.3,20.0
30.0,6.7,86.0,,,63.5,28.0
,6.7,18.0,,,64.6,18.0
30.2,6.6,33.0,,,81.6,19.2
28.3,6.9,21.0,,,59.1,14.0
,6.9,28.0,,,123.0,20.0
29.9,7.3,12.0,,,61.0,16.0
32.2,6.6,39.0,,,67.2,24.0
30.1,7.0,15.0,104.0,4.0,61.3,20.0
31.9,6.9,13.0,,,62.8,19.2
30.7,7.0,10.0,,,60.5,22.0
29.2,6.5,17.0,97.0,3.0,60.0,16.0
,7.0,21.0,,,135.0,22.0
29.3,6.8,15.0,,,76.3,16.0
31.0,6.8,54.0,462.0,,76.0,30.0
28.0,6.9,12.0,110.0,,59.0,18.0
30.9,6.8,39.0,,,217.0,20.0
,6.9,74.0,444.0,65.0,54.8,24.0
28.6,6.9,54.0,502.0,43.0,49.4,20.0
31.0,7.0,14.0,,,68.0,20.0
30.4,6.9,62.0,,,71.1,28.0
29.0,6.9,19.0,190.0,16.0,53.1,16.0
30.0,6.7,15.0,95.0,5.0,63.5,20.0
,6.6,32.0,,,56.6,16.0
28.5,6.8,115.0,986.0,90.0,48.9,24.0
29.5,7.0,20.0,177.0,,100.8,20.0
31.0,7.1,13.0,124.0,12.0,64.6,20.0
30.3,7.0,48.0,,,71.4,28.0
,6.9,79.0,,,76.4,28.8
29.9,6.8,80.0,572.0,46.0,82.0,30.0
30.2,7.2,12.0,,,60.4,16.0
28.0,6.8,21.0,193.0,20.0,78.0,20.0
30.0,6.7,35.0,,,57.7,20.0
28.9,6.9,21.0,117.0,20.0,60.7,16.0
29.2,6.7,47.0,,,58.1,18.0
,6.9,42.0,,,70.9,22.4
29.6,7.1,14.0,135.0,,57.0,20.0
28.6,6.8,93.0,1050.0,90.0,60.2,26.0
,,33.0,,,232.0,24.0
30.4,6.7,23.0,,,60.8,22.0
28.9,6.8,14.0,142.0,12.0,78.5,18.0
28.7,6.6,14.0,,,137.7,16.0
29.2,6.9,57.0,,,63.7,24.0
30.3,6.9,20.0,,,65.3,18.0
28.2,6.9,112.0,992.0,80.0,64.4,22.4
,6.9,30.0,,,60.5,20.0
28.2,6.9,21.0,190.0,18.0,54.8,16.0
30.5,6.7,38.0,,,70.8,19.2
30.2,7.1,21.0,,,80.2,16.0
29.3,6.9,109.0,972.0,91.0,66.3,32.0
31.6,6.9,28.0,229.0,21.0,65.0,22.4
29.9,6.8,28.0,,,56.2,18.0
29.1,6.7,48.0,406.0,34.0,55.5,18.0
29.6,6.9,74.0,692.0,56.0,57.9,24.0
27.0,6.7,135.0,,,54.4,22.0
29.4,7.2,13.0,117.0,12.0,61.8,8.0
28.6,7.1,13.0,115.0,13.0,61.0,20.0
31.1,6.7,27.0,,,72.2,19.2
31.2,7.0,12.0,,,61.4,18.0
31.0,6.9,16.0,,,78.4,18.0
28.5,7.0,16.0,128.0,,56.0,16.0
28.5,7.0,45.0,,,53.9,20.0
29.8,6.6,79.0,,,49.5,18.0
29.8,6.9,33.0,,,60.0,18.0
31.0,7.1,13.0,,,60.0,16.0
30.6,6.9,16.0,160.0,,58.5,16.0
28.5,6.8,138.0,1280.0,110.0,49.8,26.0
28.4,7.0,50.0,,,51.9,20.0
29.2,6.9,97.0,,,54.5,22.0
,6.9,20.0,,,61.9,24.0
29.5,6.9,103.0,602.0,92.0,56.2,24.0
,6.9,9.0,,,61.3,18.0
31.0,6.9,16.0,154.0,13.0,64.8,16.0
29.5,6.7,35.0,,,60.0,18.0
31.8,7.0,13.0,,,65.2,16.0
30.8,6.9,26.0,257.0,28.0,75.0,24.0
28.6,7.0,60.0,550.0,57.0,61.0,24.0
31.0,6.9,49.0,,,57.5,20.0
29.2,6.9,67.0,,,55.3,22.0
30.5,6.9,35.0,,,92.0,26.0
28.3,6.8,14.0,,,60.1,12.0
28.9,6.8,26.0,262.0,23.0,55.0,18.0
28.9,6.8,72.0,694.0,,66.1,26.0
31.1,6.8,31.0,,,83.0,28.0
30.1,6.9,17.0,164.0,15.0,84.9,18.0
29.6,6.9,57.0,498.0,44.0,72.3,28.0
28.4,7.0,67.0,520.0,,53.3,20.0
31.7,7.0,7.0,,,62.2,19.2
29.5,6.8,60.0,,,70.3,22.4
30.6,6.9,10.0,92.0,8.0,64.3,19.2
28.0,6.9,114.0,1110.0,98.0,51.3,24.0
29.2,6.9,123.0,,,60.0,22.4
,6.9,11.0,,,173.9,18.0
31.0,7.1,12.0,,,67.0,22.0
29.5,7.0,15.0,,,55.5,16.0
29.7,6.9,18.0,,,70.5,18.0
29.4,6.6,33.0,,,54.0,18.0
29.7,7.2,25.0,,,67.0,16.0
30.8,6.7,49.0,410.0,,79.3,28.0
32.7,6.9,24.0,231.0,22.0,90.0,26.0
30.4,7.2,27.0,,,81.0,22.0
29.7,6.6,84.0,,,61.6,22.0
30.0,6.7,29.0,,,76.0,22.0
31.8,7.0,11.0,,,64.0,22.0
29.8,6.7,22.0,183.0,15.0,50.3,14.0
29.3,6.9,20.0,,,61.6,14.0
31.3,6.9,36.0,,,76.0,26.0
29.0,6.8,86.0,806.0,66.0,52.6,20.0
28.4,6.8,64.0,592.0,48.0,60.0,26.0
,7.1,38.0,,,103.8,22.0
29.4,6.9,21.0,175.0,20.0,54.7,14.0
31.1,6.8,47.0,432.0,41.0,93.3,28.0
32.6,7.0,14.0,,,67.4,18.0
30.5,6.8,78.0,664.0,59.0,68.9,25.6
28.2,7.1,14.0,,,65.3,16.0
29.7,6.9,15.0,156.0,14.0,55.8,14.0
,7.0,45.0,,,54.2,18.0
28.9,6.7,18.0,160.0,15.0,68.5,19.2
30.0,6.9,41.0,,,57.5,18.0
28.7,6.9,70.0,704.0,73.0,60.1,26.0
27.8,6.9,49.0,485.0,,55.4,20.0
30.5,7.0,12.0,,,62.1,20.0
30.0,6.8,28.0,268.0,28.0,66.6,19.2
29.7,6.8,53.0,,,58.3,22.4
,,24.0,215.0,27.0,58.0,16.0
29.1,6.8,43.0,404.0,32.0,50.7,20.0
31.2,6.9,27.0,253.0,22.0,63.1,16.0
30.9,7.0,33.0,282.0,31.0,70.0,24.0
27.8,7.0,61.0,483.0,,53.8,20.0
29.5,6.9,37.0,216.0,36.0,56.8,18.0
30.4,6.9,63.0,,,78.0,32.0
,6.9,42.0,,,164.5,20.0
28.7,6.9,22.0,195.0,,67.7,16.0
,6.6,20.0,120.0,7.0,68.4,18.0
,6.9,15.0,,,64.0,16.0
31.8,7.1,9.0,,,63.4,16.0
30.2,7.0,20.0,203.0,20.0,60.6,16.0
29.4,6.9,54.0,329.0,50.0,57.1,20.0
30.5,7.0,14.0,,,59.7,8.0
29.3,7.0,22.0,210.0,,63.6,18.0
28.9,7.2,8.0,,,61.0,8.0
29.7,7.2,13.0,115.0,,58.1,16.0
28.8,6.9,17.0,159.0,15.0,63.6,19.2
28.6,6.8,87.0,,,60.5,26.0
29.5,6.8,33.0,,,49.0,18.0
27.0,7.0,77.0,,,55.5,24.0
30.4,6.7,66.0,,,62.3,22.0
29.7,7.1,14.0,125.0,12.0,71.8,18.0
28.8,7.0,52.0,312.0,40.0,52.7,18.0
28.8,6.9,19.0,,,67.8,16.0
30.0,7.0,11.0,,,60.5,12.0
,7.1,17.0,,,68.0,16.0
31.7,7.2,13.0,,,58.1,18.0
31.7,6.9,8.0,,,63.0,16.0
28.6,6.6,18.0,110.0,6.0,75.1,20.0
28.1,6.9,74.0,720.0,,52.0,18.0
29.1,6.7,131.0,1122.0,99.0,51.0,28.0
28.2,7.4,10.0,93.0,10.0,62.7,22.0
30.1,6.8,30.0,,,55.0,14.0
31.3,6.7,38.0,,,62.1,18.0
29.1,7.0,51.0,454.0,44.0,59.7,22.0
28.3,7.0,96.0,872.0,80.0,59.2,22.4
30.0,6.7,41.0,,,51.0,18.0
29.5,7.0,30.0,259.0,25.0,55.8,16.0
29.2,6.8,55.0,,,72.4,26.0
32.4,6.7,15.0,,,63.2,8.0
29.1,6.6,17.0,,,65.5,22.0
29.6,6.9,20.0,,,65.7,16.0
29.2,6.9,57.0,,,54.4,22.0
31.2,7.1,9.0,100.0,8.0,63.0,20.0
28.4,6.9,15.0,127.0,19.0,83.1,24.0
31.9,7.1,9.0,,,58.0,16.0
28.0,7.0,12.0,104.0,12.0,66.0,22.0
30.2,6.7,23.0,200.0,,61.3,20.0
29.2,6.6,10.0,51.0,3.0,64.0,18.0
30.3,6.7,54.0,507.0,42.0,59.8,20.0
29.4,6.9,34.0,308.0,27.0,56.3,20.0
30.2,7.0,15.0,138.0,14.0,68.5,20.0
30.0,6.9,30.0,,,60.0,20.0
29.8,6.8,51.0,470.0,39.0,49.6,20.0
31.0,6.9,17.0,,,62.0,16.0
28.8,6.9,58.0,363.0,54.0,58.3,20.0
28.9,6.9,65.0,590.0,48.0,62.5,26.0
,7.0,43.0,,,56.1,18.0
29.1,7.0,11.0,,,61.6,14.0
28.3,7.0,39.0,330.0,,60.6,18.0
29.2,6.9,10.0,72.0,10.0,69.5,16.0
29.6,6.8,33.0,315.0,29.0,56.2,12.0
29.2,6.8,54.0,,,65.8,22.4
27.8,7.0,109.0,,,54.0,24.0
28.3,6.8,10.0,100.0,11.0,60.7,14.0
29.5,6.9,50.0,296.0,23.0,56.0,22.0
29.4,6.9,73.0,,,54.4,22.0
29.6,6.9,61.0,,,53.3,20.0
30.9,6.8,26.0,,,75.0,24.0
29.0,7.0,55.0,460.0,,54.0,20.0
30.8,6.8,21.0,,,67.2,22.0
28.0,6.6,175.0,1656.0,142.0,47.0,24.0
30.5,7.0,12.0,68.0,16.0,57.0,18.0
30.2,6.9,15.0,,,64.8,18.0
29.5,7.0,12.0,98.0,10.0,60.5,14.0
31.7,6.7,15.0,,,67.9,20.0
33.0,6.6,18.0,,,68.6,8.0
28.9,6.8,52.0,457.0,38.0,48.6,20.0
29.7,6.9,54.0,,,63.0,24.0
30.0,6.9,31.0,196.0,16.0,63.6,18.0
28.9,6.9,47.0,,,56.2,20.0
29.1,6.8,52.0,444.0,34.0,51.7,22.0
,6.8,105.0,,,52.3,26.0
29.8,6.9,45.0,,,53.5,20.0
29.4,6.9,21.0,,,77.6,19.2
29.8,7.0,72.0,706.0,64.0,59.2,22.0
31.0,6.9,29.0,,,83.0,32.0
29.2,6.7,75.0,,,55.4,24.0
30.4,7.1,23.0,,,151.4,18.0
30.2,6.9,17.0,,,70.4,19.2
30.2,6.8,87.0,,,81.3,36.0
30.5,7.0,25.0,,,61.7,22.0
,,37.0,199.0,44.0,69.6,16.0
29.7,6.7,24.0,138.0,8.0,72.7,20.0
29.8,6.8,61.0,,,68.6,28.8
29.4,7.0,22.0,187.0,21.0,72.4,18.0
29.8,7.0,12.0,,,59.6,18.0
31.0,6.8,52.0,,,80.0,24.0
31.8,6.9,18.0,,,64.4,20.0
29.4,6.7,186.0,1617.0,144.0,51.7,26.0
30.8,6.7,63.0,,,74.4,28.0
29.2,6.9,132.0,,,65.6,25.6
29.4,6.9,39.0,323.0,,62.3,22.0
30.8,7.1,9.0,,,64.4,20.0
31.7,6.8,27.0,,,68.1,16.0
29.7,6.9,15.0,,,63.0,22.0
28.7,6.8,63.0,560.0,48.0,69.5,26.0
28.6,6.7,38.0,,,50.2,16.0
30.4,7.1,14.0,159.0,13.0,83.0,22.0
28.3,7.0,19.0,,,58.5,16.0
30.5,6.9,28.0,,,212.0,22.0
29.2,7.0,61.0,,,59.5,24.0
30.7,6.9,21.0,,,56.5,18.0
29.3,7.0,28.0,,,64.0,18.0
29.2,6.5,10.0,58.0,4.0,63.0,20.0
30.9,6.7,62.0,,,80.9,18.0
29.0,6.8,66.0,604.0,52.0,53.0,24.0
29.6,6.9,64.0,,,62.8,30.0
29.7,6.9,36.0,,,58.8,20.0
29.0,6.8,23.0,233.0,22.0,82.0,24.0
30.4,7.0,17.0,141.0,14.0,66.4,18.0
30.8,7.0,19.0,,,61.7,18.0
30.9,6.9,25.0,216.0,,64.0,22.0
30.9,6.7,16.0,139.0,14.0,71.1,8.0
,6.7,15.0,,,65.6,16.0
29.0,6.8,145.0,1170.0,120.0,63.6,32.0
30.2,6.9,26.0,,,202.0,18.0
29.9,7.0,17.0,,,59.7,16.0
29.9,6.6,23.0,244.0,23.0,73.0,22.4
29.5,7.1,15.0,,,58.7,16.0
30.8,6.8,25.0,,,64.2,19.2
31.6,6.8,20.0,,,67.5,24.0
28.9,7.2,19.0,,,65.2,14.0
28.3,7.0,13.0,119.0,14.0,65.6,22.0
28.0,7.0,50.0,310.0,47.0,49.9,20.0
30.0,6.6,78.0,,,64.7,28.0
28.5,6.9,17.0,,,66.0,14.0
31.2,7.1,22.0,,,108.1,18.0
28.6,6.8,44.0,402.0,42.0,61.0,20.0
28.5,6.8,68.0,606.0,56.0,62.1,24.0
30.6,6.8,17.0,,,58.6,14.0
,7.0,10.0,,,62.4,22.0
31.7,7.1,13.0,,,66.1,20.0
29.7,7.0,10.0,107.0,11.0,65.0,18.0
,6.8,49.0,442.0,35.0,52.1,18.0
28.8,7.0,82.0,,,52.3,22.0
29.6,6.5,69.0,,,59.3,22.0
28.1,6.9,50.0,490.0,39.0,58.0,22.0
,7.0,52.0,,,48.1,18.0
29.0,7.1,10.0,82.0,8.0,59.5,8.0
28.9,7.0,48.0,290.0,45.0,56.0,20.0
29.3,6.8,47.0,,,78.4,26.0
27.6,6.9,18.0,202.0,47.0,64.2,16.0
29.7,6.6,22.0,134.0,10.0,67.5,18.0
29.8,6.9,70.0,680.0,58.0,58.0,22.0
31.1,6.8,22.0,201.0,17.0,65.4,19.2
28.3,7.0,50.0,315.0,46.0,57.3,22.0
29.6,6.9,31.0,290.0,30.0,56.1,16.0
29.0,6.8,15.0,,,82.0,16.0
29.8,7.0,45.0,355.0,29.0,63.0,19.2
31.2,7.1,32.0,,,65.2,18.0
29.5,6.9,54.0,,,74.0,32.0
28.5,6.6,21.0,130.0,8.0,56.1,16.0
31.2,7.0,16.0,123.0,,68.8,24.0
29.4,6.8,14.0,,,62.4,14.0
28.7,7.0,84.0,,,52.1,24.0
29.1,6.9,22.0,,,60.6,14.0
29.3,6.8,83.0,748.0,83.0,52.3,24.0
,7.1,15.0,,,62.1,20.0
31.8,7.0,9.0,,,65.3,14.0
,7.0,12.0,,,63.2,22.0
29.4,6.9,27.0,172.0,11.0,61.3,22.0
29.9,6.9,16.0,155.0,13.0,53.7,12.0
30.4,7.0,23.0,214.0,21.0,64.3,18.0
28.6,6.8,27.0,253.0,27.0,72.0,20.0
31.2,7.1,16.0,,,69.9,22.0
28.8,7.0,99.0,,,52.9,24.0
26.8,7.0,76.0,,,49.7,18.0
30.2,6.9,19.0,,,62.0,20.0
30.4,6.8,29.0,269.0,22.0,67.8,26.0
31.8,7.1,16.0,,,64.0,18.0
31.0,6.7,17.0,,,93.3,22.0
30.0,6.9,20.0,,,60.3,14.0
30.0,7.2,12.0,,,60.0,20.0
,6.8,23.0,,,352.0,20.0
29.8,6.8,18.0,151.0,16.0,59.6,14.0
28.7,7.0,54.0,330.0,45.0,55.7,20.0
29.8,7.1,23.0,,,59.7,18.0
30.1,6.9,22.0,258.0,23.0,53.0,14.0
29.2,6.8,89.0,748.0,77.0,53.0,22.0
30.6,6.6,35.0,,,94.6,30.0
30.8,7.0,22.0,206.0,24.0,62.0,20.0
30.9,6.9,18.0,,,84.3,18.0
,6.6,20.0,,,80.7,19.2
29.2,7.2,35.0,,,63.7,18.0
29.9,6.8,33.0,,,60.8,16.0
29.2,6.9,83.0,690.0,54.0,68.6,22.4
,6.6,26.0,,,60.3,16.0
30.8,7.1,12.0,90.0,8.0,61.2,18.0
30.1,7.0,37.0,,,55.1,20.0
30.3,6.8,42.0,,,68.0,19.2
30.9,6.7,26.0,,,89.7,19.2
31.0,6.8,47.0,,,83.0,28.0
30.2,6.9,64.0,,,57.3,20.0
31.5,7.0,11.0,106.0,10.0,59.2,16.0
,6.9,48.0,,,67.4,19.2
,6.8,39.0,319.0,28.0,54.1,18.0
29.1,6.9,15.0,,,64.9,16.0
29.7,6.7,55.0,487.0,40.0,59.4,22.0
29.3,7.1,12.0,109.0,11.0,58.5,18.0
29.8,6.7,26.0,,,55.5,12.0
30.4,6.9,34.0,,,83.1,24.0
30.8,7.0,14.0,,,59.0,18.0
30.3,7.1,12.0,86.0,9.0,60.9,18.0
,6.9,33.0,,,63.5,22.0
29.5,7.0,27.0,209.0,18.0,68.6,18.0
29.6,7.0,20.0,,,62.8,16.0
29.6,6.8,44.0,,,56.5,14.0
32.1,7.1,14.0,,,66.6,20.0
28.3,6.8,31.0,320.0,30.0,52.5,18.0
28.8,6.9,69.0,608.0,53.0,61.2,24.0
29.3,6.9,56.0,492.0,40.0,52.0,22.0
29.0,7.0,87.0,483.0,80.0,53.2,20.0
30.9,6.7,22.0,,,63.0,20.0
29.5,7.1,20.0,,,58.5,16.0
29.3,6.7,50.0,,,65.0,22.4
,6.8,33.0,,,53.0,20.0
30.2,6.7,50.0,,,72.8,26.0
29.7,6.7,51.0,,,62.1,18.0
29.3,6.9,17.0,,,60.0,16.0
31.5,6.8,23.0,,,83.1,26.0
28.8,6.7,78.0,,,59.9,28.0
29.4,6.9,65.0,,,74.5,26.0
30.7,7.1,15.0,134.0,15.0,81.2,18.0
32.5,6.9,14.0,,,61.9,16.0
29.6,6.8,62.0,535.0,46.0,74.6,36.0
28.8,6.9,17.0,149.0,13.0,55.1,16.0
28.8,6.9,77.0,,,54.0,26.0
30.9,7.0,18.0,,,54.8,20.0
30.5,6.7,30.0,,,52.1,14.0
29.5,6.8,122.0,1137.0,87.0,61.0,28.0
29.7,6.8,45.0,,,52.8,18.0
28.0,6.7,36.0,314.0,26.0,54.7,16.0
28.4,6.8,65.0,604.0,60.0,0.0,18.0
31.0,7.0,19.0,183.0,,63.9,20.0
29.9,7.2,17.0,159.0,,105.0,18.0
29.5,6.7,18.0,142.0,14.0,61.6,14.0
,6.8,48.0,,,52.1,22.0
30.9,6.9,24.0,244.0,24.0,70.0,22.0
,7.0,41.0,347.0,,84.0,24.0
30.2,6.6,20.0,184.0,18.0,65.5,24.0
31.3,6.8,8.0,,,60.6,16.0
28.6,6.9,53.0,319.0,26.0,57.3,22.0
30.7,6.9,39.0,,,75.5,24.0
,6.7,70.0,,,51.5,20.0
28.9,6.8,48.0,477.0,35.0,50.0,20.0
30.1,6.8,51.0,,,70.8,30.0
30.6,6.9,45.0,,,62.1,19.2
31.4,7.0,10.0,,,66.0,16.0
,7.0,14.0,,,64.5,16.0
30.0,6.9,53.0,,,55.8,22.0
31.3,7.0,10.0,,,60.5,22.0
29.2,6.8,36.0,,,56.0,18.0
29.0,6.7,93.0,810.0,73.0,55.6,24.0
,7.1,11.0,,,61.0,18.0
28.9,7.0,30.0,257.0,20.0,54.1,22.0
28.7,6.8,28.0,220.0,24.0,63.4,18.0
32.3,6.9,9.0,,,66.2,18.0
,6.9,105.0,,,57.3,24.0
30.0,7.2,14.0,,,71.7,18.0
,6.8,56.0,,,53.4,20.0
31.6,6.8,45.0,396.0,42.0,69.7,25.6
29.6,6.7,90.0,,,68.0,22.4
32.0,6.7,15.0,,,65.8,8.0
30.7,6.8,34.0,290.0,25.0,66.3,19.2
29.8,6.7,24.0,133.0,8.0,68.7,18.0
30.5,6.9,35.0,351.0,32.0,69.0,22.0
30.3,6.8,86.0,700.0,64.0,53.6,18.0
30.0,6.7,13.0,186.0,17.0,77.7,22.0
30.0,6.8,57.0,,,54.9,20.0
30.5,7.0,21.0,199.0,23.0,75.0,22.0
30.0,6.7,68.0,,,62.4,22.0
30.0,7.0,13.0,,,62.0,22.0
29.7,6.9,21.0,,,61.4,20.0
29.7,6.9,51.0,,,58.8,22.0
28.1,6.8,21.0,182.0,16.0,54.8,16.0
,7.1,32.0,,,186.8,18.0
,6.5,21.0,,,64.9,20.0
,7.0,28.0,,,79.9,26.0
28.6,7.0,45.0,,,65.8,22.4
29.8,6.7,30.0,,,61.9,14.0
29.2,7.0,41.0,,,51.0,18.0
30.6,6.8,35.0,304.0,28.0,63.4,18.0
28.7,6.8,88.0,789.0,68.0,68.1,28.0
28.2,6.8,165.0,1590.0,135.0,51.6,26.0
29.0,6.8,75.0,,,71.2,32.0
28.6,6.8,29.0,,,68.6,19.2
29.5,6.9,67.0,,,57.9,22.0
28.3,6.8,14.0,108.0,12.0,58.1,14.0
28.3,6.9,70.0,,,56.6,22.0
28.5,6.8,22.0,211.0,20.0,67.4,20.0
,6.6,21.0,,,64.5,18.0
30.8,6.9,27.0,,,76.9,24.0
29.1,6.8,23.0,209.0,14.0,56.6,12.0
29.8,6.8,46.0,,,55.3,20.0
30.3,6.9,14.0,,,66.9,14.0
27.5,6.7,22.0,,,60.0,16.0
,6.7,123.0,,,0.0,20.0
28.5,6.6,18.0,104.0,2.0,66.0,18.0
28.7,6.8,14.0,126.0,12.0,60.5,16.0
29.7,6.9,38.0,229.0,18.0,58.6,20.0
27.8,7.0,19.0,174.0,18.0,65.0,18.0
,7.0,14.0,,,58.8,16.0
29.7,6.8,13.0,,,64.3,16.0
28.2,6.8,70.0,429.0,43.0,56.3,22.0
28.4,6.8,60.0,568.0,56.0,0.0,20.0
30.9,7.0,48.0,,,59.3,20.0
28.1,6.7,162.0,1686.0,128.0,63.2,34.0
29.8,6.8,13.0,,,59.4,14.0
29.8,6.8,47.0,,,60.0,18.0
30.3,7.0,12.0,110.0,13.0,65.1,18.0
30.1,7.1,18.0,115.0,7.0,58.4,18.0
30.7,6.8,43.0,393.0,36.0,93.0,32.0
29.0,6.8,19.0,161.0,13.0,57.5,12.0
30.4,7.1,10.0,70.0,7.0,59.0,16.0
30.0,7.1,18.0,160.0,18.0,61.2,8.0
29.9,6.8,22.0,,,75.2,19.2
28.7,6.9,14.0,120.0,12.0,73.0,19.2
30.3,6.9,29.0,201.0,14.0,59.2,20.0
29.0,6.8,16.0,,,57.6,14.0
29.8,6.8,12.0,108.0,10.0,85.1,16.0
33.2,6.7,30.0,,,63.0,22.0
,,37.0,,,259.0,24.0
28.7,7.1,35.0,,,49.0,18.0
,7.0,33.0,312.0,33.0,230.0,26.0
30.2,6.9,69.0,,,61.4,30.0
,6.9,52.0,,,51.9,18.0
30.8,6.9,23.0,188.0,,68.0,20.0
28.8,6.8,94.0,,,69.0,28.0
30.3,7.0,18.0,164.0,15.0,67.5,24.0
31.1,6.9,13.0,116.0,13.0,63.3,19.2
,,20.0,,,62.2,16.0
30.8,6.9,27.0,179.0,18.0,59.8,20.0
29.9,7.0,16.0,,,60.0,18.0
29.0,7.1,17.0,155.0,,57.0,20.0
30.3,7.0,11.0,116.0,,60.5,22.0
28.3,6.9,16.0,145.0,,58.7,20.0
29.0,6.8,22.0,197.0,19.0,73.0,19.2
29.4,6.8,11.0,,,74.0,19.2
29.5,6.8,46.0,,,59.1,22.0
29.8,7.0,28.0,286.0,24.0,66.0,24.0
31.7,6.7,35.0,,,56.9,20.0
28.5,6.8,89.0,,,55.1,24.0
28.7,6.8,24.0,196.0,,58.3,18.0
29.3,6.9,50.0,,,66.0,26.0
29.5,6.9,33.0,,,55.6,18.0
,6.8,109.0,,,55.2,24.0
28.4,6.8,73.0,424.0,60.0,61.1,22.0
29.7,6.8,23.0,236.0,19.0,65.5,16.0
30.4,7.0,8.0,,,59.8,22.0
29.0,6.9,24.0,234.0,18.0,65.6,14.0
28.8,6.8,127.0,,,48.9,24.0
29.8,6.7,36.0,,,61.6,20.0
31.3,6.8,17.0,155.0,,58.1,18.0
30.1,6.7,26.0,237.0,18.0,61.7,20.0
29.5,6.9,45.0,,,54.8,20.0
30.2,6.8,62.0,,,75.6,32.0
30.1,6.8,38.0,,,79.3,19.2
30.4,7.0,11.0,100.0,4.0,62.4,20.0
30.1,6.9,31.0,,,54.1,16.0
32.2,6.8,8.0,,,64.2,8.0
28.4,6.9,19.0,,,64.0,16.0
30.0,6.7,35.0,,,75.6,19.2
29.7,7.1,12.0,,,65.0,10.0
29.1,6.9,36.0,344.0,28.0,74.9,24.0
28.7,7.1,19.0,176.0,20.0,87.8,24.0
28.9,6.7,81.0,682.0,58.0,46.9,20.0
28.7,7.0,54.0,,,63.0,25.6
,,25.0,,,67.5,18.0
30.2,7.0,13.0,,,60.4,8.0
28.9,6.9,77.0,722.0,57.0,67.3,26.0
30.5,6.6,23.0,,,64.6,18.0
28.5,6.8,80.0,,,53.4,24.0
29.5,6.8,19.0,,,63.7,14.0
31.8,6.9,15.0,150.0,14.0,55.6,16.0
,6.9,35.0,,,132.1,24.0
30.0,7.0,18.0,,,67.2,18.0
31.0,6.9,19.0,,,67.1,19.2
30.0,7.1,15.0,,,55.5,18.0
28.9,6.8,44.0,381.0,37.0,59.8,18.0
29.9,6.9,43.0,358.0,27.0,63.9,19.2
,6.9,21.0,187.0,19.0,58.5,16.0
29.5,6.8,23.0,252.0,22.0,52.9,18.0
,6.9,16.0,,,62.7,14.0
28.6,6.8,107.0,996.0,90.0,64.5,32.0
31.0,6.9,13.0,,,67.5,16.0
29.8,7.2,16.0,,,60.9,8.0
28.6,6.8,19.0,182.0,17.0,86.6,19.2
29.3,7.0,21.0,,,66.5,22.0
30.8,6.9,23.0,,,132.6,26.0
29.1,6.8,90.0,844.0,80.0,55.6,22.0
28.5,6.7,83.0,828.0,,58.0,28.0
29.5,6.9,35.0,,,58.0,18.0
29.0,6.6,18.0,101.0,3.0,69.9,20.0
,6.9,51.0,,,52.7,18.0
31.4,6.9,48.0,,,67.4,30.0
28.7,6.8,43.0,,,63.2,18.0
29.0,6.8,149.0,1266.0,108.0,56.1,26.0
29.7,6.9,12.0,,,61.9,16.0
30.3,6.9,8.0,71.0,6.0,94.6,26.0
30.7,7.2,37.0,296.0,,67.5,20.0
27.5,7.1,11.0,95.0,8.0,67.0,22.0
28.5,6.7,19.0,115.0,4.0,61.1,18.0
29.3,6.8,10.0,,,61.4,14.0
28.8,6.8,14.0,,,63.1,14.0
29.9,6.9,33.0,,,58.0,18.0
32.3,6.8,12.0,,,58.5,18.0
29.0,6.9,20.0,,,63.0,16.0
28.7,7.0,12.0,118.0,12.0,63.2,16.0
,7.0,57.0,,,56.3,20.0
29.1,7.0,16.0,,,74.3,19.2
29.7,7.3,23.0,210.0,22.0,60.3,22.0
31.7,7.1,12.0,96.0,,62.0,16.0
